Date,PlayerID,Training,SessionType,Duration,RPE,SessionLoad,DailyLoad,AcuteLoad,ChronicLoad,AcuteChronicRatio,ObjectiveRating,FocusRating,BestOutOfMyself
2018-07-10,16,Yes,Skills,60,6,360,375,430.7,491.43,0.88,10,10,Absolutely
2018-07-10,16,Yes,Mobility/Recovery,30,0,15,NA,NA,NA,NA,10,10,Absolutely
2018-07-09,2,Yes,Speed,30,3,90,780,303.6,428.75,0.71,NA,NA,NA
2018-07-09,2,Yes,Skills,90,4,360,NA,NA,NA,NA,NA,NA,NA
2018-07-09,2,Yes,Strength,60,4,240,NA,NA,NA,NA,NA,NA,NA
2018-07-09,2,Yes,Mobility/Recovery,45,2,90,NA,NA,NA,NA,NA,NA,NA
2018-07-09,3,Yes,Speed,45,4,180,990,370.7,440.36,0.84,NA,NA,Absolutely
2018-07-09,3,Yes,Skills,90,4,360,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-09,3,Yes,Strength,90,5,450,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-09,5,Yes,Speed,60,3,180,720,102.9,143.93,0.71,8,9,NA
2018-07-09,5,Yes,Skills,60,3,180,NA,NA,NA,NA,8,9,NA
2018-07-09,5,Yes,Strength,90,4,360,NA,NA,NA,NA,8,9,NA
2018-07-09,6,Yes,Speed,45,3,135,845,223.6,452.11,0.49,8,8,NA
2018-07-09,6,Yes,Skills,90,4,360,NA,NA,NA,NA,8,8,NA
2018-07-09,6,Yes,Strength,70,5,350,NA,NA,NA,NA,8,8,NA
2018-07-09,7,Yes,Speed,45,5,225,885,302.1,455.89,0.66,NA,NA,NA
2018-07-09,7,Yes,Skills,75,4,300,NA,NA,NA,NA,NA,NA,NA
2018-07-09,7,Yes,Strength,60,6,360,NA,NA,NA,NA,NA,NA,NA
2018-07-09,10,Yes,Speed,45,3,135,645,267.9,294.11,0.91,8,8,NA
2018-07-09,10,Yes,Skills,90,3,270,NA,NA,NA,NA,8,8,NA
2018-07-09,10,Yes,Strength,60,4,240,NA,NA,NA,NA,8,8,NA
2018-07-09,11,Yes,Speed,45,4,180,780,265,490.18,0.54,9,9,Absolutely
2018-07-09,11,Yes,Skills,90,4,360,NA,NA,NA,NA,9,9,Absolutely
2018-07-09,11,Yes,Strength,60,4,240,NA,NA,NA,NA,9,9,Absolutely
2018-07-09,13,Yes,Speed,40,3,120,720,140,366.61,0.38,NA,NA,Not at all
2018-07-09,13,Yes,Skills,90,5,450,NA,NA,NA,NA,NA,NA,Not at all
2018-07-09,13,Yes,Strength,30,5,150,NA,NA,NA,NA,NA,NA,Not at all
2018-07-09,13,Yes,Mobility/Recovery,20,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-09,14,Yes,Speed,30,3,90,540,145.7,402.86,0.36,NA,NA,NA
2018-07-09,14,Yes,Skills,90,3,270,NA,NA,NA,NA,NA,NA,NA
2018-07-09,14,Yes,Strength,45,4,180,NA,NA,NA,NA,NA,NA,NA
2018-07-09,15,Yes,Speed,30,3,90,480,137.1,189.11,0.72,8,9,NA
2018-07-09,15,Yes,Skills,90,3,270,NA,NA,NA,NA,8,9,NA
2018-07-09,15,Yes,Strength,40,3,120,NA,NA,NA,NA,8,9,NA
2018-07-09,16,Yes,Speed,40,3,120,855,377.1,478.04,0.79,8,8,NA
2018-07-09,16,Yes,Skills,90,4,360,NA,NA,NA,NA,8,8,NA
2018-07-09,16,Yes,Strength,90,4,360,NA,NA,NA,NA,8,8,NA
2018-07-09,16,Yes,Mobility/Recovery,30,0,15,NA,NA,NA,NA,8,8,NA
2018-07-09,17,Yes,Speed,35,4,140,710,101.4,281.29,0.36,7,8,NA
2018-07-09,17,Yes,Skills,90,3,270,NA,NA,NA,NA,7,8,NA
2018-07-09,17,Yes,Strength,60,5,300,NA,NA,NA,NA,7,8,NA
2018-07-08,1,No,NA,NA,NA,NA,NA,97.9,215.89,0.45,NA,NA,NA
2018-07-08,2,No,NA,NA,NA,NA,NA,286.4,400.89,0.71,NA,NA,NA
2018-07-08,3,No,NA,NA,NA,NA,NA,280.7,405,0.69,NA,NA,Absolutely
2018-07-08,5,No,NA,NA,NA,NA,NA,NA,118.21,NA,NA,NA,NA
2018-07-08,7,No,NA,NA,NA,NA,NA,282.9,424.29,0.67,NA,NA,Absolutely
2018-07-08,10,No,NA,NA,NA,NA,NA,238.6,271.07,0.88,NA,NA,NA
2018-07-08,11,No,NA,NA,NA,NA,NA,237.1,462.32,0.51,NA,NA,Absolutely
2018-07-08,13,Yes,Strength,60,3,180,260,108.6,340.89,0.32,NA,NA,Not at all
2018-07-08,13,Yes,Speed,20,4,80,NA,NA,NA,NA,NA,NA,Not at all
2018-07-08,16,No,NA,NA,NA,NA,NA,338.6,447.5,0.76,NA,NA,NA
2018-07-07,1,No,NA,NA,NA,NA,NA,150.7,215.89,0.7,NA,NA,NA
2018-07-07,2,No,NA,NA,NA,NA,NA,377.9,406.46,0.93,NA,NA,NA
2018-07-07,3,No,NA,NA,NA,NA,NA,443.6,405,1.1,NA,NA,Absolutely
2018-07-07,6,No,NA,NA,NA,NA,NA,340,478.18,0.71,NA,NA,NA
2018-07-07,7,No,NA,NA,NA,NA,NA,390,431.14,0.9,NA,NA,Absolutely
2018-07-07,11,No,NA,NA,NA,NA,NA,342.1,462.32,0.74,NA,NA,Absolutely
2018-07-07,13,No,NA,NA,NA,NA,NA,194.3,331.61,0.59,NA,NA,Absolutely
2018-07-07,16,No,NA,NA,NA,NA,NA,471.4,447.5,1.05,NA,NA,NA
2018-07-06,2,Yes,Speed,40,4,160,615,377.9,406.46,0.93,NA,NA,NA
2018-07-06,2,Yes,Conditioning,60,6,360,NA,NA,NA,NA,NA,NA,NA
2018-07-06,2,Yes,Skills,25,3,75,NA,NA,NA,NA,NA,NA,NA
2018-07-06,2,Yes,Mobility/Recovery,10,2,20,NA,NA,NA,NA,NA,NA,NA
2018-07-06,3,Yes,Speed,45,4,180,765,443.6,417.5,1.06,NA,NA,Absolutely
2018-07-06,3,Yes,Conditioning,60,6,360,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-06,3,Yes,Strength,45,5,225,NA,NA,NA,NA,NA,NA,Absolutely
2018-07-06,4,Yes,Speed,30,4,120,480,360.7,407.11,0.89,7,7,NA
2018-07-06,4,Yes,Skills,60,6,360,NA,NA,NA,NA,7,7,NA
2018-07-06,7,Yes,Speed,45,4,180,705,415.7,431.14,0.96,NA,NA,NA
2018-07-06,7,Yes,Skills,75,7,525,NA,NA,NA,NA,NA,NA,NA
2018-07-06,10,Yes,Speed,45,2,90,690,341.4,291.43,1.17,8,8,NA
2018-07-06,10,Yes,Skills,30,2,60,NA,NA,NA,NA,8,8,NA
2018-07-06,10,Yes,Conditioning,45,9,405,NA,NA,NA,NA,8,8,NA
2018-07-06,10,Yes,Strength,45,3,135,NA,NA,NA,NA,8,8,NA
2018-07-06,11,Yes,Speed,45,3,135,610,342.1,466.25,0.73,9,9,Absolutely
2018-07-06,11,Yes,Skills,40,4,160,NA,NA,NA,NA,9,9,Absolutely
2018-07-06,11,Yes,Conditioning,45,7,315,NA,NA,NA,NA,9,9,Absolutely
2018-07-06,13,No,NA,NA,NA,NA,NA,194.3,340.29,0.57,NA,NA,Absolutely
2018-07-06,14,Yes,Speed,30,4,120,480,231.4,387.14,0.6,NA,NA,NA
2018-07-06,14,Yes,Skills,60,6,360,NA,NA,NA,NA,NA,NA,NA
2018-07-06,16,Yes,Speed,45,3,135,1155,471.4,451.43,1.04,6,7,Somewhat
2018-07-06,16,Yes,Skills,90,8,720,NA,NA,NA,NA,6,7,Somewhat
2018-07-06,16,Yes,Strength,60,5,300,NA,NA,NA,NA,6,7,Somewhat
2018-07-05,1,Yes,Mobility/Recovery,30,0,15,235,150.7,221.54,0.68,NA,NA,NA
2018-07-05,1,Yes,Skills,90,2,180,NA,NA,NA,NA,NA,NA,NA
2018-07-05,1,Yes,Strength,40,1,40,NA,NA,NA,NA,NA,NA,NA
2018-07-05,2,Yes,Skills,60,3,180,630,290,384.5,0.75,NA,NA,NA
2018-07-05,2,Yes,Mobility/Recovery,90,3,270,NA,NA,NA,NA,NA,NA,NA
2018-07-05,2,Yes,Strength,45,4,180,NA,NA,NA,NA,NA,NA,NA
2018-07-05,3,Yes,Mobility/Recovery,30,1,30,840,334.3,415.18,0.81,NA,NA,NA
2018-07-05,3,Yes,Skills,90,4,360,NA,NA,NA,NA,NA,NA,NA
2018-07-05,3,Yes,Strength,90,5,450,NA,NA,NA,NA,NA,NA,NA
2018-07-05,4,Yes,Mobility/Recovery,30,0,15,575,292.1,389.96,0.75,8,8,NA
2018-07-05,4,Yes,Skills,90,4,360,NA,NA,NA,NA,8,8,NA
2018-07-05,4,Yes,Strength,50,4,200,NA,NA,NA,NA,8,8,NA
2018-07-05,6,Yes,Mobility/Recovery,30,1,30,720,340,478.18,0.71,8,8,NA
2018-07-05,6,Yes,Skills,90,5,450,NA,NA,NA,NA,8,8,NA
2018-07-05,6,Yes,Strength,60,4,240,NA,NA,NA,NA,8,8,NA
2018-07-05,7,Yes,Skills,75,4,300,525,315,419.86,0.75,NA,NA,NA
2018-07-05,7,Yes,Strength,45,5,225,NA,NA,NA,NA,NA,NA,NA
2018-07-05,10,Yes,Mobility/Recovery,30,2,60,540,242.9,266.79,0.91,8,8,NA
2018-07-05,10,Yes,Skills,75,4,300,NA,NA,NA,NA,8,8,NA
2018-07-05,10,Yes,Strength,60,3,180,NA,NA,NA,NA,8,8,NA
2018-07-05,11,Yes,Mobility/Recovery,30,2,60,465,255,455.54,0.56,9,8,Absolutely
2018-07-05,11,Yes,Skills,90,3,270,NA,NA,NA,NA,9,8,Absolutely
2018-07-05,11,Yes,Strength,45,3,135,NA,NA,NA,NA,9,8,Absolutely
2018-07-05,13,No,NA,NA,NA,NA,NA,194.3,357.29,0.54,NA,NA,Absolutely
2018-07-05,15,Yes,Mobility/Recovery,30,2,60,480,120,177.82,0.67,7,7,NA
2018-07-05,15,Yes,Skills,90,3,270,NA,NA,NA,NA,7,7,NA
2018-07-05,15,Yes,Strength,50,3,150,NA,NA,NA,NA,7,7,NA
2018-07-05,16,Yes,Skills,90,4,360,630,306.4,418.68,0.73,8,8,NA
2018-07-05,16,Yes,Mobility/Recovery,60,0,30,NA,NA,NA,NA,8,8,NA
2018-07-05,16,Yes,Strength,60,4,240,NA,NA,NA,NA,8,8,NA
2018-07-04,1,No,NA,NA,NA,NA,NA,172.9,229,0.76,NA,NA,NA
2018-07-04,2,Yes,Mobility/Recovery,50,2,100,100,282.9,380.93,0.74,NA,NA,NA
2018-07-04,3,No,NA,NA,NA,NA,NA,396.4,415.82,0.95,NA,NA,Absolutely
2018-07-04,5,No,NA,NA,NA,NA,NA,111.4,128.54,0.87,NA,NA,NA
2018-07-04,7,No,NA,NA,NA,NA,NA,360,418.43,0.86,NA,NA,Absolutely
2018-07-04,10,No,NA,NA,NA,NA,NA,240.7,247.5,0.97,NA,NA,Somewhat
2018-07-04,11,No,NA,NA,NA,NA,NA,302.9,472.29,0.64,NA,NA,Absolutely
2018-07-04,13,Yes,Mobility/Recovery,60,0,0,0,194.3,380.68,0.51,NA,NA,Not at all
2018-07-04,15,No,NA,NA,NA,NA,NA,51.4,160.68,0.32,NA,NA,NA
2018-07-04,16,No,NA,NA,NA,NA,NA,353.6,410.11,0.86,NA,NA,NA
2018-07-03,1,Yes,Skills,90,5,450,450,217.9,233.29,0.93,NA,NA,NA
2018-07-03,2,Yes,Conditioning,60,9,540,660,372.9,377.36,0.99,NA,NA,NA
2018-07-03,2,Yes,Skills,30,3,90,NA,NA,NA,NA,NA,NA,NA
2018-07-03,2,Yes,Mobility/Recovery,15,2,30,NA,NA,NA,NA,NA,NA,NA
2018-07-03,3,Yes,Conditioning,60,6,360,360,525,426.54,1.23,NA,NA,NA
2018-07-03,4,Yes,Skills,90,8,720,720,428.9,395.14,1.09,8,8,NA
2018-07-03,6,Yes,Skills,90,8,720,720,508.6,452.46,1.12,8,8,NA
2018-07-03,7,Yes,Skills,75,1,750,750,435,424.86,1.02,NA,NA,NA
2018-07-03,10,Yes,Skills,20,4,80,440,313.6,273.21,1.15,8,8,NA
2018-07-03,10,Yes,Conditioning,45,8,360,NA,NA,NA,NA,8,8,NA
2018-07-03,11,Yes,Skills,40,3,120,585,377.9,485.68,0.78,9,9,Absolutely
2018-07-03,11,Yes,Conditioning,15,1,150,NA,NA,NA,NA,9,9,Absolutely
2018-07-03,11,Yes,Conditioning,45,7,315,NA,NA,NA,NA,9,9,Absolutely
2018-07-03,13,Yes,Skills,40,5,200,500,301.4,391.39,0.77,NA,NA,Not at all
2018-07-03,13,Yes,Conditioning,30,1,300,NA,NA,NA,NA,NA,NA,Not at all
2018-07-03,13,Yes,Mobility/Recovery,20,0,0,NA,NA,NA,NA,NA,NA,Not at all
2018-07-03,14,Yes,Conditioning,60,9,540,540,492.9,389.54,1.27,NA,NA,NA
2018-07-03,15,Yes,Skills,20,3,60,360,51.4,160.68,0.32,7,8,NA
2018-07-03,15,Yes,Conditioning,20,8,160,NA,NA,NA,NA,7,8,NA
2018-07-03,15,Yes,Skills,20,7,140,NA,NA,NA,NA,7,8,NA
2018-07-03,16,Yes,Strength,45,2,90,585,414.3,419.21,0.99,8,5,NA
2018-07-03,16,Yes,Skills,60,8,480,NA,NA,NA,NA,8,5,NA
2018-07-03,16,Yes,Mobility/Recovery,30,0,15,NA,NA,NA,NA,8,5,NA
2018-07-02,1,Yes,Speed,35,2,70,370,153.6,217.21,0.71,NA,NA,NA
2018-07-02,1,Yes,Skills,90,2,180,NA,NA,NA,NA,NA,NA,NA
2018-07-02,1,Yes,Strength,60,2,120,NA,NA,NA,NA,NA,NA,NA
2018-07-02,2,Yes,Speed,30,4,120,640,278.6,353.79,0.79,NA,NA,NA
2018-07-02,2,Yes,Skills,60,4,240,NA,NA,NA,NA,NA,NA,NA
2018-07-02,2,Yes,Strength,60,4,240,NA,NA,NA,NA,NA,NA,NA
2018-07-02,2,Yes,Mobility/Recovery,20,2,40,NA,NA,NA,NA,NA,NA,NA
2018-07-02,3,Yes,Speed,60,5,300,1140,473.6,413.68,1.14,NA,NA,NA
2018-07-02,3,Yes,Skills,75,4,300,NA,NA,NA,NA,NA,NA,NA
2018-07-02,3,Yes,Strength,90,6,540,NA,NA,NA,NA,NA,NA,NA
2018-07-02,4,Yes,Speed,45,4,180,750,326,369.43,0.88,8,8,NA
